longDBName,shortDBName,an,title,abstract,publicationDate,contributors,docTypes,pubTypes,coverDate,peerReviewed,source,subjects,isiType,doids,isbns,issns,publisherLocations,identifiers,isOpenAccess,bookEdition,language,publisher,pageEnd,pageStart,pageCount,volume,issue,doi,notes,mid,degreeLevel,plink
MLA International Bibliography,mzh,2.02434E+11,Language Change in Real- and Apparent-Time: Coherence in the Individual and the Community,"This book makes the case for the value of a combined panel and trend study approach in studying real- and apparent-time language change to reconcile conspicuous disparities between the individual and the community. Through an examination of the Swabian dialect in southwestern Germany in two speech communities over four decades, this volume resolves critical methodological challenges in investigating lifespan and community change. This work affirms the importance of the speech community in shaping change and demonstrating how speakers’ notions of local identity and community belonging inform their choice of linguistic variants. Drawing on a comprehensive, integrated methodology, this research brings together diverse approaches for measuring changing social constructs and analyzing linguistic structures using state-of-the-art statistical methods bolstered by participant-observer and ethnographic observations. Beaman explores indexicalities of identity, accommodation, and geographic mobility to investigate how predictable sociolinguistic patterns promote variation and influence language change. Empirically, this volume documents processes of dialect leveling and supraregionalization and the emergence of a “Swabian Renaissance” among younger, well-educated urban speakers who leverage the social indexical status of certain linguistic variables to convey social meanings of local prestige and community belonging. Methodologically, this book offers best practices from a combined panel and trend study, demonstrating the compatibility and complementarity of real- and apparent-time analyses in uncovering the nature, rate, and dispersion of linguistic change. Theoretically, this work links intraspeaker lifespan change and interspeaker community change into a holistic approach, pushing forward our understanding of the role that “orderly heterogeneity” plays in language variation and change. This book will be of interest to students and scholars in sociolinguistics, linguistic anthropology, dialectology, and historical linguistics.",20240101,"Beaman, Karen V.",Book,Book,2024,,,German language (New High) ; Swabian German dialect ; language change ; sociolinguistic variation ; speech community ; ethnographic approach,BOOK,,978-1-00-326733-1 ; 978-1-03-221216-6,,,,,,eng,Routledge,,,,,,10.4324/9781003267331,,,,https://research.ebsco.com/linkprocessor/plink?id=7faaf547-4140-3a72-8582-0ab02a454513
MLA International Bibliography,mzh,1981080714,Neuberg am Rhein: Eine alemannische Sprachinsel in der südlichen Vorderpfalz,,19780101,"Karch, Dieter",Book,Book,1978,,,German language (New High) ; Alemannic dialect ; dialectology ; West Germany ; Vorderpfalz ; Neuberg am Rhein,BOOK,,,0077-6386,,,,,ger,"University of Nebraska, Lincoln",,,,,,,,,,https://research.ebsco.com/linkprocessor/plink?id=3fdbf731-4b8b-34ef-a58b-cdd44675e258
MLA International Bibliography,mzh,1988090408,Standard und städtischer Substandard bei Heranwachsenden im Ruhrgebiet,,19880101,"Scholten, Beate",Book,Book,1988,,,German language (New High) ; dialectology ; West Germany ; Ruhr region ; urban dialect ; adolescents,BOOK,,,0344-6778,,,,,ger,Max Niemeyer Verlag,,,,,,10.1515/9783111661667,,,,https://research.ebsco.com/linkprocessor/plink?id=25bf4d8c-893c-3f5d-87d6-62d247116866
MLA International Bibliography,mzh,2010901242,New Approaches to Describing Phonological Change: The Realisation of Middle High German <i>î</i> in the Alemannic Dialects of Southwest Germany,,20090101,"Schwarz, Christian ; Streck, Tobias ; Tsiplakou, Stavroula(ed. and introd.) ; Karyolemou, Marilena(ed. and introd.) ; Pavlou, Pavlos(ed. and introd.)",Book Article,Book Article,2009,,"Language Variation: European Perspectives, II",German language (New High) ; Alemannic German dialect ; phonology ; vowels ; diphthongization ; phonological change,CHAP,,978-90-272-3485-8 ; 978-90-272-8926-1,1872-9592,,,,,eng,John Benjamins Publishing Company,213,205,9,,,10.1075/silv.5.17sch,,,,https://research.ebsco.com/linkprocessor/plink?id=156af320-5794-300b-89dd-df5fee3dc38d
MLA International Bibliography,mzh,2.02329E+11,Language Use in Public Speeches Commemorating World War I: Germany and Australia Compared,,20230101,"Saller, Anna ; Dorrer , Andreas ; Petraschka, Thomas",Book Article,Book Article,2023,,Der Erste Weltkrieg: Erinnerungskulturen in Deutschland und Australien/The First World War: Cultures of Remembrance in Germany and Australia,German language (New High) ; stylistics ; rhetoric ; figurative language ; political speeches ; commemoration ; World War I ; Australian English dialect,CHAP,,978-3-8471-1521-2 ; 978-3-7370-1521-9,,,,,,ger,V&R (Vandenhoeck & Ruprecht),123,97,27,,,,,,,https://research.ebsco.com/linkprocessor/plink?id=c945e10b-56b4-3c8c-9dde-2f1b418a14fb
MLA International Bibliography,mzh,2017902247,"Dialects as L1: Evaluating the Challenges in Primary and Secondary Education in Germany, Austria and Switzerland",,20160101,"Constantinescu, Cezar ; Finke, Wayne(ed.) ; Kitabayashi, Hikaru(ed. and preface)",Book Article,Book Article,2016,,Plurilingual Perspectives in Geolinguistics,German language (New High) ; dialectology ; Germany ; Austria ; Switzerland ; academic literacy ; second language learning,CHAP,,978-1-365-64219-7,,,,,,eng,Lulu Press,74,68,7,,,,,,,https://research.ebsco.com/linkprocessor/plink?id=7c3a04a9-61b7-3851-a536-13032cdd88f2
MLA International Bibliography,mzh,2.02224E+11,Dialect Divergence at the State Border: A Cognitive Sociolinguistic Approach,,20210101,"Auer, Peter ; Kristiansen, Gitte ; Franco, Karlien ; De Pascale, Stefano ; Rosseel , Laura ; Zhang, Weiwei ; Montes, Mariana",Book Article,Book Article,2021,,Cognitive Sociolinguistics Revisited,French language (Modern) ; German language (New High) ; dialectology ; France-Germany border ; language divergence ; sociocognitive approach,CHAP,,978-3-11-073851-3 ; 978-3-11-073397-6 ; 978-3-11-073394-5,1861-4078,,,,,eng,De Gruyter Mouton,309,295,15,,,,,,,https://research.ebsco.com/linkprocessor/plink?id=06c999ef-b9e8-35f9-a4ad-303874951312
MLA International Bibliography,mzh,2.02224E+11,"""Could I Have an Appointment for a Viewing?"" Language-Based Discrimination and Apartment Searches with Different Accents in Germany",,20210101,"Du Bois, Inke ; Planchenault, Gaëlle ; Poljak, Livia",Book Article,Book Article,2021,,Pragmatics of Accents,German language (New High) ; pragmatics ; language attitudes ; accented speech ; conversation ; group identity ; language discrimination ; American English dialect ; Turkish language ; conversation analysis,CHAP,,978-90-272-0988-7 ; 978-90-272-5886-1,0922-842X,,,,,eng,John Benjamins Publishing Company,114,85,30,,,,,,,https://research.ebsco.com/linkprocessor/plink?id=69bc34ad-bf42-3406-8288-2e077667964c
MLA International Bibliography,mzh,1991011120,Aspects of Dialect and School in the Federal Republic of Germany,,19890101,"Ammon, Ulrich ; Cheshire, Jenny(ed.) ; Edwards, Viv(ed.) ; Münstermann, Henk(ed.) ; Weltens, Bert(ed.)",Book Article,Book Article,1989,,Dialect and Education: Some European Perspectives,German language (Low) ; German language (New High) ; dialectology ; education,CHAP,,,,,,,,eng,Multilingual Matters,138,113,26,,,,,,,https://research.ebsco.com/linkprocessor/plink?id=525246d7-18d6-308b-8fa5-f0beeaeaac5c
MLA International Bibliography,mzh,1991011127,Teaching Materials for Dialect Speakers in the Federal Republic of Germany: The Contrastive Booklets,,19890101,"Ammon, Ulrich ; Cheshire, Jenny(ed.) ; Edwards, Viv(ed.) ; Münstermann, Henk(ed.) ; Weltens, Bert(ed.)",Book Article,Book Article,1989,,Dialect and Education: Some European Perspectives,German language (New High) ; dialectology ; education,CHAP,,,,,,,,eng,Multilingual Matters,241,234,8,,,,,,,https://research.ebsco.com/linkprocessor/plink?id=c4027be4-b3a9-3912-b855-8c3d98505909
